title,content_s,url,crawler_industry_l3,crawler_time,language_s,site_name,level_s,category_s,business_category,crawler_batch_tag,crawler_industry_l1,crawler_industry_l2,industry_l1,industry_l2,industry_l3
盐城别墅装修，这种新型模板支撑加固体系助力承建单位打造一个又一个精品工程,"如今建筑建材行业发展非常的快，新型建材产业面临着前所未有的机遇和挑战。只有不断优化升级产业结构，才是新型建筑建材产业长远的发展之路。“易鼎行”深刻认识到唯有积极应对、主动出击，才能在激烈的市场竞争中立足。易鼎行新型模板支撑加固体系之所以能够在众多建筑建材加固体系中脱颖而出，依靠的是过硬的新型产品和完善的服务体系。

　　易鼎行新型模板支撑加固体系，是应现代化建筑模板施工需求的产物，与国家提倡的绿色施工相吻合。其在建筑模板施工中的广泛应用，完全取代了传统圆管+木方，具有轻便耐用、安装便捷、绿色环保等优势。传统建筑行业一直存在高能耗、高污染、木材严重浪费等现象，再走传统落后路线，在当今激烈的市场竞争中必将会被市场淘汰。采用“钢代木”新型模板加固体系，已成为当代建筑施工中的一种趋势。

　　易鼎行始终坚持的追求创新产品、高品质产品的初心，大力拓展技术创新，抓好生产中的每一个细节，不断提升体系产品的核心品质，助力建筑施工企业打造一个又一个精品工程。

　　易鼎行作为中国建筑建材行业的代表，产品构件设计标准化、制造生产规模化、建造施工标准化、售后技术系统化已成为新型建材行业的量化标杆。通过新型技术、新工艺、新型材料大幅度降低工程的综合施工成本，提高施工效率和质量，解放劳动力。近年来，仅以客户口碑相传，产品已遍布全国各地。",http://news.jiaguhome.com/news-3423.html,盐城别墅装修,2021/8/23 10:40,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，老旧厂房加固改造重新利用要怎样保证加固效果更安全?,"近些年是我过房地产快速发展时期，大量房地产开发工程随处可见，然后也会出现一些工程因为资金或其他因素导致停工出现了一批烂尾厂房。随时时间的推移，为了提升资源利用，相关部门鼓励厂房加固改造重新投入使用，所以今年以来，有一批烂尾厂房加固工程也在提升。

厂房加固工程需要注意很多细节性的问题，只有这样才能确保整个工程安排合理，现在改造加固工程技术逐渐提升，广泛应用在房屋建筑以及其他工程领域当中，想要提高加固效果，厂房加固就要注意下面这些具体要求。

1、选择可靠公司进行施工

选择专业正规公司进行厂房加固工程施工，在整个流程中就会让你非常省心，让旧房子的改造过程变得非常轻松和简单，促进房子的使用功能，恢复正常的使用效果，让结构功能达到很好的标准。

2、施工工程合理统筹规划

厂房加固工程在施工之前需要全面统筹和规划，只有合理统筹规划之后，才能符合房屋加固的具体要求，更好的延长房屋使用寿命，让承重结构以及使用效果都能达到很安全的标准，避免因为房屋老化而造成安全隐患。

3、选择合适加固材料

厂房加固工程想要达到高质量标准，除了选择专业正规的公司进行施工之外，还要注意选择合适的加固材料，这样才能确保整个施工流程质量得到保障，避免因为材料的问题而影响了施工工程质量。

为了确保厂房加固工程可达到更专业安全的标准，尤其是避免出现意外隐患问题，建议在厂房加固工程施工之前，要选择专业正规的公司，同时还要选择合适的材料进行加固工程施工，确保可满足安全的优势，避免造成不必要的麻烦！",http://news.jiaguhome.com/news-3405.html,盐城别墅装修,2021/8/23 10:40,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，碳纤维布与碳纤维前驱体的关系？,采用碳纤维结构加固的，加固想必你的人都有所了解。房屋鉴定由专门的机构对房屋的安全性做出科学的评价，确保居住人的生命财产安全。房屋加固可以从两个层面来讲，一是因房屋破损而进行的维护性加固；二是为了使房屋达到一定抗破坏力，如抗地震能力，而进行的加固。房屋检测运用一定的技术手段和方法，对其结构质量进行检查测定，实施动态监控，房屋检测又称房屋质量检测评估，是指由具备资质的检测单位对房屋质量进行检测，评估，并开具报告的过程。在碳纤维的选择，我们更注重级碳纤维克，两者都影响我们的CFRP的判断直观。然而，它起着碳纤维的碳纤维片材上产生根本性的影响，但有关几个人。碳纤维增强碳纤维布与碳纤维前体碳纤维之间的关系是如何通过预氧化、碳化和石墨化而成的，是由聚丙烯腈、沥青、粘胶纤维等原料制成的90%以上的碳纤维。碳纤维具有高强度、高模量等优点，不仅在增强材料中得到了广泛的应用，而且在航空航天、国防和军事工业中也得到了广泛的应用。我们在加固工业中使用的碳纤维布只是碳纤维的应用之一，事实上，碳纤维的性能对碳纤维布的性能有很大的影响。从GB 50728-2011《工程结构加固材料安全评定技术规范》中可以看出：地板加固人员如何不知道碳纤维布与碳纤维长丝的关系？有一个比喻是拖车的大小。小丝束被称为“航空航天级碳纤维”，因为它主要应用于航空航天、飞机等领域，而大丝束由于技术上的局限而无法发挥其性能，因此只能称为“工业级碳纤维”。我国钢筋工业直接关系到人民群众的生命财产安全。只有保证原材料加工工艺，才能保证产品质量。因此，规范规定重要结构必须采用12K以下的小丝束，由于碳纤维布分为不同种类，不同种类的强度不同，碳纤维的强度也不同。碳纤维的强度从根本上影响着碳纤维布的强度。GB 50728-2011对碳纤维布的强度有严格要求。按照高强度一级标准，碳纤维布的拉伸强度要求达到34000mpa，那么什么样的碳纤维能够满足要求，如何才能增强人们不知道碳纤维布与碳纤维原丝的关系呢？从数据上看，强化公司目前应在碳布中使用碳纤维，主要是T300和T700。T300的抗拉强度为3530mpa，T700的抗拉强度为4900mpa。在这种情况下，高强度一级碳布能否满足T300前驱体的强度要求？事实上，无论是从原丝的含量还是从织造工艺的角度来看，碳纤维织成布后的强度都会大大降低。为了满足高强度一级碳布的强度要求，为了保证碳纤维布的强度要求，从源头上消除安全隐患，必须使用高强度的碳纤维前体材料，如何增强人们对碳纤维布与碳纤维前体材料之间关系的认识，公司对碳纤维生丝产品有严格要求。碳纤维布是由12K和T700原丝制成的。原丝强度高达4900兆帕，保证编织碳布达到3800-4000兆帕。不断改进碳纤维布的制造工艺，在碳纤维布中应用强度更高的碳纤维丝。,http://news.jiaguhome.com/news-3357.html,盐城别墅装修,2021/8/23 10:41,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，浅析：公路桥梁检测,"随着交通量的快速增长，人们出行的希望: 愿快速、舒适的交通条件，那么高速公路桥梁建设的质量就显得尤为重要。房屋鉴定由专门的机构对房屋的安全性做出科学的评价，确保居住人的生命财产安全。房屋加固可以从两个层面来讲，一是因房屋破损而进行的维护性加固；二是为了使房屋达到一定抗破坏力，如抗地震能力，而进行的加固。房屋检测运用一定的技术手段和方法，对其结构质量进行检查测定，实施动态监控，房屋检测又称房屋质量检测评估，是指由具备资质的检测单位对房屋质量进行检测，评估，并开具报告的过程。 道路和桥梁本质上是人工建筑物。 一方面，它们发挥着道路交通流的基本作用，另一方面，它们在使用和运行中受到各种内外因素的影响，包括汽车超载、使用和维护措施滞后、结构材料性能恶化、水、氯离子、碱集料、酸、钢筋锈蚀、冻融等环境因素的侵蚀、事故、地震、火灾、雷电、洪水、滑坡、侵蚀等的破坏和影响。 此外，结构设计和施工的不精确，尤其是对施工进度的过分追求，也从一个侧面严重影响了结构的安全性和耐久性，结构的实际使用寿命肯定不会达到设计初期预定的设计寿命，但在使用过程中产生了这种病害，因此，在公路桥梁施工期间，其质量非常重要，直接影响到以后的使用。

以下小编将围绕工程质量管理这一主题，以公路试验检测为切入点，主要分析和探讨如何切实加强试验检测工作，提高公路工程质量。

首先，道路和桥梁的检测工作的重要性

路桥工程检测是评价工程质量缺陷、识别工程事故的手段，也是科学管理工程质量的重要手段，也是路桥工程质量管理的重要组成部分。其重要性主要体现在以下几个方面。

1.1公路桥梁试验检测有利于新技术的推广，为工程建设积累了经验教训，有效地开展了新材料、新工艺、新技术的试验检测工作，使新技术能够正确投入生产，保证了方案的可行性、适用性、有效性和先进性。

1.2公路桥梁可以通过试验充分利用当地生产的材料，更愿意采用当地的材料。这样，如砂石、填料等，就可以通过试验来确定上述材料是否符合施工工艺要求。

1.3公路桥梁检测通过测试，提高质量保证。如果你有测试的有效手段，可以科学地评估与各种原料和成品的道路，半成品材料质量是好还是坏。它可以是任何一种材料能够通过他们的表现有关规定进行检验，从而评估他们的产品是合格的。

二。检验是提高工程质量的有效措施

2.1技术人员的工作水平直接关系到项目的质量

目前，各省市公路桥梁的发展不同，各区域施工单位的技术水平不同、不均匀，特别是试验检测人员稀少，质量较低，甚至不使用本研究。鉴于目前的情况，缺乏一支高素质的视察员队伍。因此，必须丰富试验队伍，提高整体质量和服务水平。可以介绍具体的方法，也可以将人员分配给相关机构进行系统培训和专业培训。",http://news.jiaguhome.com/news-3166.html,盐城别墅装修,2021/8/23 10:44,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，植筋加固施工时，需要注意的事项说明,"植筋加固，在建筑加固工程比较常见，不过好的植筋施工不仅提高房屋稳定性还提高房屋抗震能力，而且其施工效果是鉴定房屋安全性能的评价重要标准。所以为了确保优良的施工效果，我们就跟大家说说关于技术人员在使用植筋加固工程的时候，需要注意哪些事项?

1、在植筋加固的期间，一定要确保施工位置的干燥，如果有漏水的情况出现，一定要及时的早出原因并处理，以免影响了施工的进展;

2、进行植筋加固施工时，需要看天气，提前查看预期施工期间的天气预报，如果天气不好，可以将施工日期延迟，避免在阴雨天气施工，会影响到施工的效果.;

3、植筋完成后，一般不允许在植筋加固的钢筋上进行焊接处理，如果是特殊要求，一定要进行焊接，需要等15天之后才能进行焊接，这个时候植筋已经完全固定;

4、植筋加固施工过程中产生的建筑材料要及时清理，并运送到特定位置，以免造成对环境的污染;

5、植筋所用的钢筋材料，如果表面有锈斑，需要先将锈斑清除干净才能使用;

6、不管工程大小，选择的植筋加固施工团队都是要有资质的，选择专业的施工团队，取得的施工效果也会更加;

7、施工时使用的所有施工机器和设备都一定是在专业技术人员的操作下进行施工，保障施工过程的安全性;

8、植筋加固过程中会一直使用电力，监管人员需要查看电路是否存在安全问题，如果发现异常情况，需要及时处理，修好后在继续施工;

9、植筋加固之后的效果如何还受到植筋胶的影响，要选择质量等级高的植筋胶，才能更好的固定植筋;

10、为了能够确保整个植筋加固的施工过程顺利，我们所使用的所有原材料都经过多重的检测，确定了质量合格后才会投入使用，特别是在植筋所用的钢筋就更应该多检测几次了。",http://news.jiaguhome.com/news-3079.html,盐城别墅装修,2021/8/23 10:45,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，建筑加固工程植筋胶的使用和注意事项,"建筑加固工程植筋胶系双组分高强复合树脂结构胶。具有固化速度快、锚固力强形同预埋、与各类基材(砼、砖、岩石等)及金属锚杆相容性好，抗震性能好、耐热性能好、常温下无蠕变，抗老化、耐介质(酸、碱、水)性能好，施工简便、材料成本经济等特点。

植筋胶

一、适用范围：

1、各种建筑结构中钢筋、螺杆埋植、建筑结构加固、补强;

2、建筑结构框架、剪力墙植筋;

3、各种设备基础的固定;

4、铁路、公路、桥梁、水利改扩建工程加固;

5、广告牌、隧道管线、高架道。

二、施工工艺：

1、钻孔：用冲击钻打出设计所要求的直径及深度的锚孔;

2、清孔：用压缩空气吹尽孔内浮灰;

3、配料：先将植筋胶充分搅匀;

4、注胶：将上述混匀的胶料，注入孔中，并不得混入气泡，注入胶量应满足钢筋插入后孔内胶体填充饱满;

5、植筋：将锚固件植入孔中，去除孔口多余的胶料;

6、养护：将锚固件埋植固定后，在室温下固化不少于 10h ，在胶固化前禁止触动锚固件，以免影响锚固效果。

三、工艺流程：

1、确定锚固位置及钢筋大小;

2、检查钻头规格与钻孔深度;

3、钻孔;

4、清孔(三吹三刷);

5、按要求比例将植筋胶混合均匀;

6、注入配好胶料;

7、旋转插入钢筋;

8、固化过程养护;

9、完全固化再施工。

四、质量控制与验收：

1、在施工之前，必须对胶体进行检验。经检验合格后方可现场使用;

2、在施工过程中，务必要注意清孔干净，注入胶量应满足钢筋插入后孔内胶体填充;

3、千万不可直接把钢筋插进去，需慢慢的旋转植入;

4、锚固效果的检测通过抽样检查的方法，按总数量的1‰来检测每组4根，取平均值，试验采用轴心拉力、从而确定荷载方向对承载力的影响。

五、施工安全：

1、不可让儿童接触，切勿入口;

2、工作地点的安全措施：手套、口罩、护眼罩等物品必须具备;

3、植筋胶泥和固化剂均属化学物品，当眼睛或皮肤受到玷污时，应立即先擦拭再用酒精及清水冲洗，如感有不适，应立即就医诊治。",http://news.jiaguhome.com/news-2100.html,盐城别墅装修,2021/8/23 10:46,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，高楼大厦一定要安装防雷检测装置吗？,"雷电，这个是人类惧怕的一个自然灾害之一。特别是高层建筑物，如果没有安装防雷装置那么很容易被雷电击中破坏，存在很大的安全隐患。我国也有相关文件或者法律规定建筑物要做好防雷检测装置等。

防雷装置检测是对建筑物、电子系统、易燃易爆等场所的防雷装置和设施,依据相关的防雷技术标准,按照规定程序对其进行检查、测量、判别和各类信息综合处理的全过程.按国家有关规定开展防雷装置安全检测工作,对保护人民生命和国家财产安全、消除或减少雷击事故隐患具有十分重要的意义!


相关法律规范中对防雷检测的规定及要求如下:

1、中华人民共和国国务院令第570号《气象灾害防御条例》第二十三条:各类建(构)筑物、场所和设施安装雷电防护装置应当符合国家有关防雷标准的规定.对新建、改建、扩建建(构)筑物设计文件进行审查,应当就雷电防护装置的设计征求气象主管机构的意见;对新建、改建、扩建建(构)筑物进行竣工验收,应当同时验收雷电防护装置并有气象主管机构参加.

2、《中华人民共和国气象法》第三十一条:各级气象主管机构应当加强对雷电灾害防御工作的组织管理,并会同有关部门指导对可能遭受雷击的建筑物、构筑物和其他设施安装的雷电灾害防护装置的检测工作.安装的雷电灾害防护装置应当符合国务院气象主管机构规定的使用要求.

防雷装置检测

3、中国气象局第24号令《防雷减灾管理办法》第十九条投入使用后的防雷装置实行定期检测制度.防雷装置检测应当每年一次,对爆炸危险环境场所的防雷装置应当每半年检测一次.

4、中国气象局第24号令《防雷减灾管理办法》第二十一条防雷装置检测机构对防雷装置检测后,应当出具检测报告.不合格的,提出整改意见.被检测单位拒不整改或者整改不合格的,防雷装置检测机构应当报告当地气象主管机构,由当地气象主管机构依法作出处理.防雷装置检测机构应当执行国家有关标准和规范,出具的防雷装置检测报告必须真实可靠.

5、中华人民共和国国务院令第570号《气象灾害防御条例》第二十四条:专门从事雷电防护装置设计、施工、检测的单位应当具备相应的条件,取得国务院气象主管机构或者省、自治区、直辖市气象主管机构颁发的资质证.

6、中华人民共和国国家标准 GB/T 21431-2015 《建筑物防雷装置检测技术规范》6.定期检测周期规定:具有爆炸和火宅危险环境的防雷建筑物检测间隔时间为6个月,其他防雷建筑物检测间隔时间为12个月.",http://news.jiaguhome.com/news-993.html,盐城别墅装修,2021/8/23 10:46,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，老旧建筑什么情况需要做房屋安全鉴定？,"建筑老旧，可能就会出现病害，那么我们就需要对老旧建筑做一个检测排查安全隐患，今天小编跟大家说说什么类型的老旧建筑需要做房屋安全鉴定，和什么情况应该做房屋安全鉴定。

(一)房屋类型为：学校、幼儿园、医院、商场、图书馆、公共娱乐场所、宾馆、饭店以及客运车站候车厅等人员密集的公共建筑场所，建议每5年进行一次房屋安全鉴定评估工作。

(二) 一般居住型建筑房屋，使用年限满30年时，建议进行首次安全评估，并每10年进行次房屋安全鉴定评估。

(三) 建立在河渠、山坡、软基、采空区等危险地段的房屋建筑，建议每5年进行一次房屋安全鉴定评估。

(四)?当房屋达到所设计的使用年限仍需继续使用的，建议每2年进行次房屋安全鉴定评估。

(五) 当房屋的梁、板、柱等结构构件和阳台、雨罩、空调外机支撑构件等外墙构件及地下室工程，使用满30年，建议进行首次房屋安全鉴定评估， 并每10年进行一次房屋安全鉴定评估。

(六)当房屋需要建立悬挂阳台、玻璃幕墙、外墙贴面砖石或抹灰、屋檐等，建议每10年进行一次房屋安全鉴定评估。

以上根据房屋类型、使用年限和已使用时间情况需要进行房屋安全鉴定的情况，其实各地方住建主管部门早已有相关的规定。

除以上情况出现下列情形的也需委托房屋安全鉴定公司进行房屋安全鉴定：

(一)房屋地基出现不均匀沉降。

(二)房屋因火灾、爆炸、碰量、振动等原因，可能导致房屋结构损伤。

(三)房屋遭受地露、洪水、泥石流、风灾等自然灾害，可能导致房屋结构损伤。

(四)房屋出现开裂、变形等结构损伤等情况。

(五)房屋使用者或所有人擅自变动房屋主体和承重结构。",http://news.jiaguhome.com/news-992.html,盐城别墅装修,2021/8/23 10:46,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，做加固设计也要考虑到房屋现状！,"据小编了解到，我国的大部分建筑今年来已经有一大批建筑进入结构老化、承载力不足、抗震能力下降等情况，对比现在的相关规范已经不能满足了，因此我们就需要对这些老旧建筑做加固改造，那么加固改造之前需要做加固设计方可施工。

房屋结构安全问题主要表现


1、随着经济条件的不断提高，人们的生产、生活、消费方式也发生改变，各种新的功能场所不断出现，对应的各种设备、实施不断增加，房屋原设计标准对楼面荷载的取值已不能反映现今实际情况。出现了很多超设计标准使用的房屋。

2、因后期维护工作不到位及在自然条件、人为因素、有害介质的作用下，房屋结构产生各种劣化现象，如产生承载力不足、裂缝、腐蚀、渗漏、结构变形或连接缺陷等。

3、随着对地震破坏机理的认知度提高，抗震规范在不断的修订，抗震标准在不断提高，从而导致大批房屋已不满足现时抗震设防标准。

而现实生活中，因产权人或使用人房屋安全知识的欠缺，房屋安全使用意识淡薄的现象广泛存在。

一部分产权人(特别是单位产权的)房屋安全意识较强，意识到建造年代较早的房屋在继续使用或装修改造前应采取必要的结构加固措施，并委托设计单位进行结构加固设计，但目前不少设计人员普遍对查明房屋现状情况不清，仅把原设计图纸作为加固设计依据，这样会造成了事实上是对图纸加固，而不是对实物加固，这样可能造成加固后并未完全排除房屋安全隐患，或者有的设计单位为降低设计风险，以点盖面，随意扩大加固范围，增加工程造价，造成资源浪费。

加固设计中易忽略的房屋现状

1、忽略了房屋现状与原设计图纸的差异，尤其是对可能存在的加层、拆改、楼面墙面多次重叠装饰考虑不足。

2、忽略了因周边施工、震动等影响造成的受力构件各种缺陷。

3、忽略了因后期维护工作不到位及在自然条件、人为因素等造成的房屋结构各种劣化现象。

4、忽略了基础现状工作状态，对基础的完好度估计不足。

5、忽略了房屋原施工过程中因施工质量造成的受力构件存在的缺陷。

6、忽略了地基在长时间负载状态下，地基承载能力可能的提高。

需要通过房屋安全鉴定时大量细致的检查、检测工作，才能摸清房屋现状实际状态及存在的涉及房屋安全的问题，只有基于对房屋现状的充分了解，才能对房屋现状安全状态做出科学的评价;

只有基于科学的评价，才能有的放矢的采取相应加固措施，才能真正做到加固后房屋主要受力构件安全储备均衡、次要受力构件能满足正常使用要求;才能在确保安全使用的前提下，减少不必要的资金投入。

并最终对房屋整体及单个受力构件实际受力性能有一个量化指标，对将来可能再次发生的改变使用功能、装饰装修改造有一个科学合理的指导从而确保房屋在较长后续使用年限中的安全;

“对可靠性不足或业主要求提高可靠度的承重结构、构件及其相关部分采取增强、局部更换或调整其内力等措施，使其具有现行设计规范及业主所要求的安全性、耐久性和适用性。",http://news.jiaguhome.com/news-988.html,盐城别墅装修,2021/8/23 10:46,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
盐城别墅装修，对老旧维修建筑做抗震加固方法介绍,"我国是一个地震多发的国家之一，就今年来说，四川、新疆等地区就有发生过大大小小的地震，作为加固公司，我们认为对老旧建筑做抗震加固是非常重要的。众所周知，我国大部分老旧建筑建于上世纪八十年代左右，因为当时抗震技术和抗震规范已经不符合现在的规范，还有大部分建筑在使用过程中，抗震性能也在逐步下降，对于这些较弱抗震能力的建筑有没有什么办法可以补救呢？

建筑抗震能力下降补救只要是加强老旧建筑的抗震能力，实在不行也可以选择拆除重建。但是我们都建议通过对原建筑物做抗震加固，这样不仅经济，而且也是解决问题的一种好方式。

对既有建(构)筑物进行科学合理的抗震加固,可提高其构件强度和整体稳定性,或可改变其结构自振周期使其避免共振、增大阻尼而减小地震作用,从而有效提高其抗震能力。

加固房屋的简单方法：

1、楼房和房屋顶盖的加固:一般采用水泥砂浆重新填实、配筋加厚的方法。

2、墙体加固:墙体有两种,一种是承重墙,另一种是非承重墙。加固方法有拆砖补缝、钢筋拉固、附墙加固等。

3、建筑物突出部位的加固:如对烟囱、女儿墙、出屋顶的水箱间、楼梯间等部位,采取适当措施设置竖向拉条,拆除不必要的附属物。",http://news.jiaguhome.com/news-982.html,盐城别墅装修,2021/8/23 10:46,zh,加固之家,A,专业资讯,B2C,V20210823,服务,家庭装修,服务,家庭装修,盐城别墅装修
